variant,date,cash,position_value,equity,open_tickers,open_count
baseline_original,2025-03-13,5497.240734625043,4502.759265374957,10000.0,VRSK,1
baseline_original,2025-03-14,5800.637488645559,4649.6384378919365,10450.275926537495,TMUS,1
baseline_original,2025-03-17,5479.9932493318065,5435.246520994884,10915.23977032669,GEHC,1
baseline_original,2025-03-18,5780.12641779569,4591.588700431513,10371.715118227203,ROP,1
baseline_original,2025-03-19,5435.661520154769,5395.2124681155865,10830.873988270356,ISRG,1
baseline_original,2025-03-20,6863.280287162238,4507.1149479196765,11370.395235081915,ROP,1
baseline_original,2025-03-21,5564.379068110568,5355.304672179379,10919.683740289947,BKR,1
baseline_original,2025-03-24,6117.869862877716,5337.344344630169,11455.214207507885,VRTX,1
baseline_original,2025-03-25,5593.707232749271,5327.7725402955975,10921.479773044868,GEHC,1
baseline_original,2025-03-26,5877.418808305555,4511.283710709754,10388.702519015309,CHTR,1
baseline_original,2025-03-27,5676.148348488465,5163.68254159782,10839.830890086285,INSM,1
baseline_original,2025-03-28,5220.807028213251,5102.655607713253,10323.462635926504,FANG,1
baseline_original,2025-03-31,5639.9906222547215,4173.2064529004565,9813.197075155178,COST,1
baseline_original,2025-04-01,5346.495106867556,4884.022613577667,10230.517720445223,VRSK,1
baseline_original,2025-04-02,5111.474933955698,4630.640525131759,9742.115459087458,TMUS,1
baseline_original,2025-04-03,6066.538513673509,4138.640997927125,10205.179511600634,VRTX,1
baseline_original,2025-04-04,5509.9931769264695,4281.3222348814525,9791.315411807922,MSTR,1
baseline_original,2025-04-07,4876.795314563993,4486.387873755784,9363.183188319777,TMUS,1
baseline_original,2025-04-08,5339.967795436222,3574.5766055079775,8914.5444009442,COST,1
baseline_original,2025-04-09,5483.347407132849,3788.654654362148,9272.002061494997,VRSK,1
baseline_original,2025-04-10,4880.030985399353,4013.105610659429,8893.136596058783,EA,1
baseline_original,2025-04-11,5353.774983936603,3940.6721731881216,9294.447157124725,VRSK,1
baseline_original,2025-04-14,5469.443077569098,4219.071296874439,9688.514374443537,VRTX,1
baseline_original,2025-04-15,5574.723217795002,4535.69828633598,10110.421504130982,TTWO,1
baseline_original,2025-04-16,5219.871949428134,4436.9797260692485,9656.851675497383,INSM,1
baseline_original,2025-04-17,5328.508337268029,4772.041310836279,10100.549648104308,INSM,1
baseline_original,2025-04-21,4852.229226830467,4771.116290190213,9623.34551702068,CSX,1
baseline_original,2025-04-22,5921.0063627977,4179.450783242002,10100.457146039702,ISRG,1
baseline_original,2025-04-23,5338.631810488807,5179.770413875096,10518.402224363903,TMUS,1
baseline_original,2025-04-24,5876.875811332863,5159.50345441855,11036.379265751413,LIN,1
baseline_original,2025-04-25,607.2167755784503,10767.949163306723,11375.165938885173,"LIN,TTWO",2
baseline_original,2025-04-28,6201.7183036676915,5537.12614512323,11738.844448790922,VRSK,1
baseline_original,2025-04-29,6657.005975301658,5635.551088001588,12292.557063303246,VRSK,1
baseline_original,2025-04-30,7005.609823297851,5850.502348805552,12856.112172103403,ROST,1
baseline_original,2025-05-01,7980.886762195254,5460.275644788706,13441.16240698396,TMUS,1
baseline_original,2025-05-02,7444.287784542051,6542.90218692078,13987.18997146283,NFLX,1
baseline_original,2025-05-05,6947.045516241207,6385.854236529547,13332.899752770754,VRSK,1
baseline_original,2025-05-06,7947.740713610385,6023.744462813325,13971.48517642371,VRSK,1
baseline_original,2025-05-07,7596.339078161651,6977.520544543393,14573.859622705044,GEHC,1
baseline_original,2025-05-08,7693.633380623013,7577.978296536371,15271.611677159384,CPRT,1
baseline_original,2025-05-09,8691.151373831342,7338.25813298168,16029.409506813023,DASH,1
baseline_original,2025-05-12,9013.552876347447,7749.682443763745,16763.23532011119,ROP,1
baseline_original,2025-05-13,9187.561459486216,8350.642105001349,17538.203564487565,DASH,1
baseline_original,2025-05-14,10316.555987041193,8056.711787946509,18373.2677749877,ISRG,1
baseline_original,2025-05-15,8871.393687067502,8696.202909125546,17567.59659619305,INSM,1
baseline_original,2025-05-16,9883.798141159168,8553.418745946437,18437.216887105606,DASH,1
baseline_original,2025-05-19,8965.48609298126,8616.388919529698,17581.87501251096,ORLY,1
baseline_original,2025-05-20,10777.116939289419,7666.396965174509,18443.51390446393,COST,1
baseline_original,2025-05-21,9163.16013825308,8513.714069693395,17676.874207946476,ROST,1
baseline_original,2025-05-22,9902.918459100709,8625.327155815108,18528.245614915817,ADSK,1
baseline_original,2025-05-23,9658.506997660688,8007.205901673618,17665.712899334307,VRSK,1
baseline_original,2025-05-27,9460.304287120887,9006.129202380782,18466.43348950167,TRI,1
baseline_original,2025-05-28,10107.15563117445,9259.8907785653,19367.04640973975,MSTR,1
baseline_original,2025-05-29,10361.67580800663,9931.35967958965,20293.03548759628,TMUS,1
baseline_original,2025-05-30,11012.366079368237,10273.805376187009,21286.171455555246,AXON,1
baseline_original,2025-06-02,11181.917130952468,11131.63486222148,22313.551993173947,TMUS,1
baseline_original,2025-06-03,11836.251580318674,11590.46389907742,23426.715479396094,CTAS,1
baseline_original,2025-06-04,14393.728347896873,10192.033521406966,24585.76186930384,AXON,1
baseline_original,2025-06-05,15344.531627580134,10260.433593864404,25604.965221444538,AXON,1
baseline_original,2025-06-06,12817.94310964745,11760.978752410649,24578.921862058098,VRSK,1
baseline_original,2025-06-09,11782.370842176108,11620.453144640927,23402.823986817035,TRI,1
baseline_original,2025-06-10,11225.431021135853,11015.34765121709,22240.778672352943,TMUS,1
baseline_original,2025-06-11,10900.549056774062,10238.694850457172,21139.243907231234,VRSK,1
baseline_original,2025-06-12,11581.132564092,10581.980828184951,22163.11339227695,FANG,1
baseline_original,2025-06-13,12905.662736868659,10315.64873822679,23221.31147509545,AXON,1
baseline_original,2025-06-16,13224.813794924095,11028.062553994034,24252.87634891813,INSM,1
baseline_original,2025-06-17,15130.366919496151,10225.31568482138,25355.68260431753,AXON,1
baseline_original,2025-06-18,12219.744732174418,12113.406303660973,24333.15103583539,GEHC,1
baseline_original,2025-06-20,12898.329212822146,10223.48119264715,23121.810405469296,AXON,1
baseline_original,2025-06-23,11269.537074733318,10829.925211471262,22099.46228620458,GILD,1
baseline_original,2025-06-24,11708.933987453842,11473.520819897865,23182.454807351707,VRSK,1
baseline_original,2025-06-25,11324.729477242308,10710.373248119613,22035.10272536192,GILD,1
baseline_original,2025-06-26,11890.196538292212,11215.943511881671,23106.140050173883,DASH,1
baseline_original,2025-06-27,12126.493748850915,9858.0519501348,21984.545698985716,AXON,1
baseline_original,2025-06-30,13541.40430418555,9428.946589813646,22970.350893999195,AXON,1
baseline_original,2025-07-01,11033.347244869301,10994.10899014853,22027.45623501783,BKR,1
baseline_original,2025-07-02,11757.493529088357,11369.373604944327,23126.867134032684,TRI,1
baseline_original,2025-07-03,12498.210036590122,11765.594457936995,24263.804494527118,VRSK,1
baseline_original,2025-07-07,15240.148827737441,10200.215112583377,25440.363940320818,AXON,1
baseline_original,2025-07-08,13055.175018080312,11365.167410982167,24420.34242906248,ROP,1
baseline_original,2025-07-09,12328.729760692802,10955.095927271463,23283.825687964265,DASH,1
baseline_original,2025-07-10,11219.098060751934,10969.218034485184,22188.316095237118,CTAS,1
